
106年03月09日 零股交易行情單(元/股)
"證券代號","證券名稱","成交股數","成交筆數","成交金額","成交價","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量"
="0050","元大台灣50      ","12,395","120","897,980","72.45","72.40","69,310","72.45","3,600",
="0051","元大中型100     ","100","1","2,980","29.80","28.10","1,890","29.80","694",
="0052","富邦科技        ","0","0","0","--","43.21","1,099","43.58","668",
="0053","元大電子        ","0","0","0","--","31.00","999","31.60","717",
="0054","元大台商50      ","0","0","0","--","22.30","1,499","--","0",
="0055","元大MSCI金融    ","0","0","0","--","14.90","1,829","14.95","220",
="0056","元大高股息      ","3,566","26","87,572","24.56","24.56","22,304","24.59","4,829",
="0057","富邦摩台        ","0","0","0","--","43.10","999","44.01","811",
="0058","富邦發達        ","0","0","0","--","41.90","1,119","42.34","144",
="0059","富邦金融        ","0","0","0","--","34.87","1,019","35.21","942",
="0061","元大寶滬深      ","0","0","0","--","15.72","2,921","--","0",
="006203","元大MSCI台灣    ","0","0","0","--","33.64","29","--","0",
="006204","永豐臺灣加權    ","21","2","1,008","48.04","46.10","100","48.04","2,976",
="006205","富邦上証        ","576","6","15,664","27.20","27.20","3,001","27.45","921",
="006206","元大上證50      ","0","0","0","--","25.06","991","--","0",
="006207","FH滬深          ","0","0","0","--","20.19","1,050","20.33","999",
="006208","富邦台50        ","92","1","3,923","42.65","42.65","705","--","0",
="00625K","富邦上証+R      ","0","0","0","--","--","0","--","0",
="00631L","元大台灣50正2   ","200","1","5,378","26.89","26.77","1,040","26.89","2,040",
="00632R","元大台灣50反1   ","3,607","17","55,434","15.37","15.35","3,465","15.37","10,496",
="00633L","富邦上証正2     ","631","6","20,886","33.10","33.10","1,929","33.20","600",
="00634R","富邦上証反1     ","980","1","8,829","9.01","9.01","1,018","9.80","180",
="00635U","元大S&P黃金     ","100","1","1,938","19.38","19.38","2,096","20.29","998",
="00636","國泰中國A50     ","0","0","0","--","16.33","1,273","--","0",
="00637L","元大滬深300正2  ","88","1","1,106","12.57","12.48","3,360","12.57","7,402",
="00638R","元大滬深300反1  ","0","0","0","--","--","0","--","0",
="00639","富邦深100       ","1,653","9","15,518","9.39","9.39","1,849","9.45","1,694",
="00640L","富邦日本正2     ","0","0","0","--","--","0","--","0",
="00641R","富邦日本反1     ","0","0","0","--","--","0","--","0",
="00642U","元大S&P石油     ","100","1","1,880","18.80","18.60","12,514","18.80","1,119",
="00643","群益深証中小    ","0","0","0","--","13.73","1,299","14.30","3,997",
="00643K","群益深証中小+R  ","0","0","0","--","--","0","--","0",
="00645","富邦日本        ","252","2","4,963","19.70","19.70","546","19.86","202",
="00646","元大S&P500      ","0","0","0","--","22.00","1,377","--","0",
="00647L","元大S&P500正2   ","0","0","0","--","25.05","839","25.26","161",
="00648R","元大S&P500反1   ","250","2","4,067","16.27","16.01","200","16.27","1,193",
="00649","FH香港          ","0","0","0","--","17.38","16","--","0",
="00650L","FH香港正2       ","0","0","0","--","--","0","--","0",
="00651R","FH香港反1       ","0","0","0","--","--","0","--","0",
